#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing), VERSION (optional for asdf only, if not supplied latest will be used)
,xorg-server,"is the graphical server. This first one may take a while as it pulls many other dependencies first on clean installs."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,polkit,"manages user policies."
,libertinus-font,"provides the sans and serif fonts for LARBS."
,ttf-font-awesome,"provides extended glyph support."
,ttf-dejavu,"properly displays emojis."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,ueberzug,"enables previews in the lf file manager."
,bc,"is a mathematics language used for the dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,calcurse,"terminal-based organizer for interactive and command line use"
,exfat-utils,"allows management of FAT drives."
,nsxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,ffmpegthumbnailer,"creates thumbnail previews of video files."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,python-qdarkstyle,"provides a dark Qt theme."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
A,librewolf-bin,"is the default browser of LARBS which also comes with ad-blocking and other sensible and necessary features by default."
A,arkenfox-user.js,"provides hardened security settings for Firefox and Librewolf to avoid Mozilla spyware and general web fingerprinting."
,noto-fonts,"is an expansive font package."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,wireplumber,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
A,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
,unzip,"unzips zips."
,lynx,"is a terminal browser also used in LARBS for generating in-terminal previews of websites, emails and HTML files."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information and is used in the file browser."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool used for easy selection and location of files."
,bat,"can highlight code output and display files and is used to generate previews in the file browser."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
G,https://github.com/thomazbdri/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/thomazbdri/st-flexipatch.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/thomazbdri/dwm-flexipatch.git,"is the window manager."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,moreutils,"is a collection of useful unix tools."
,eza,"Substitute for exa which is a substitute for ls"
,ripgrep-all,"Ripgrep for all files"
,git-delta,"A better diff"
,tmux,"Terminal multiplexer"
,bat-extras,"Extras for bat highlight"
,entr,"Run command on file update"
,direnv,"Run command on entering directory with .envrc"
A,asdf-vm,"Run environment for programming languages"
A,nvim-packer-git,"Neovim plugin manager"
,fd,"A Rust find replacement"
,procs,"A Rust ps replacement"
,bottom,"A Rust top replacement"
,just,"A Rust make replacement"
,navi,"Remember commands"
F,bun,"bun is a node replacement"
F,cloudflared,"Controll Cloudflare tunnels"
F,golang,"Golang is a static linked language with garbage collector"
F,helm,"Helm is a Kubernetes resource tool"
F,k9s,"Kubernetes dashboard tui"
F,kubectl,"Kubernetes cli"
F,kustomize,"Kubernetes resource tool also"
F,nodejs,"Javascript engine for the PC, used in some language servers"
F,ruby,"Programming language used in Vagrantfile, used for language server"
F,zig,"The new kid on the block, looks a C with steroids"
,docker,"Linux container frontend"
,docker-compose,"Docker compose to run multiple containers in a single file"
S,docker.socket,"Docker service that starts only when used, need to be declared after docker installation"
,libvirt,"Virtual machines and virtualization tools"
,iptables-nft,"firewall for libvirt"
,dnsmasq,"dns for libvirt"
S,libvirtd,"Libvirt daemon, also enables virtlogd"
,qemu-full,"QEMU is a virtualization backend"
S,"systemd-resolved","A systemd dns"
,networkmanager,"Network stuff with also a dhcp client"
S,"NetworkManager","Network manager service"
,"tailscale","Current VPN that i'm using"
S,"tailscaled","Tailscale service"
,"1password","My password manager"
,"1password-cli","1password cli"
